test-1;1;1;50000
test-2;3;3,5,8,4,2,1;50000
test-3;8;8,4,2,1;50000
test-4;15;15,23,35,53,80,40,20,10,5,8,4,2,1;50000
test-5;114;114,57,86,43,65,98,49,74,37,56,28,14,7,11,17,26,13,20,10,5,8,4,2,1;50000
test-6;210;210,105,158,79,119,179,269,404,202,101,152,76,38,19,29,44,22,11,17,26,13,20,10,5,8,4,2,1;50000
test-7;219;219,329,494,247,371,557,836,418,209,314,157,236,118,59,89,134,67,101,152,76,38,19,29,44,22,11,17,26,13,20,10,5,8,4,2,1;50000
test-8;169;169,254,127,191,287,431,647,971,0;50000
test-9;171;171,257,386,193,290,145,218,109,164,82,41,62,31,47,71,107,161,242,121,182,91,137,206,103,155,233,350,175,263,395,593,890,445,668,334,167,251,377,566,283,425,638,319,479,719,0;100000
test-10;929;929,0;50000
